"","ID","org","collection","freq","jurisdiction","date_created","date_last_mod","type"
"152","19f65901-e4d5-4299-b1de-dceed106eba1","statcan","primary","P1Y","federal","2021-03-30T12:41:58.200266","2021-03-30T12:41:58.200275","dataset"
"153","1a12f1f0-d36f-4aee-8b79-135934dea63d","on","federated","P1Y","provincial","2021-01-27T15:50:03.740013","2021-02-24T08:00:13.207233","dataset"
"154","1a334806-1b7f-4de4-98fc-838c8da5c7dd","on","federated","P1Y","provincial","2021-01-27T15:50:13.423026","2021-01-28T16:47:07.887640","dataset"
"155","1a5d6d96-420e-443e-b861-e127fadc3db0","on","federated","as_needed","provincial","2021-01-27T15:50:20.771221","2021-01-28T16:47:09.560677","dataset"
"156","1a5ec738-4515-4c97-8a62-b11374279b34","on","federated","P3M","provincial","2021-01-27T15:50:28.510311","2021-01-28T16:47:11.223638","dataset"
"157","1ad83721-3a65-4083-bf44-f55b2cb3f852","statcan","primary","as_needed","federal","2020-07-14T12:38:42.238059","2020-11-27T20:31:26.979263","dataset"
"158","1adb9459-fb70-435d-a812-0cecb8e602df","qc","federated","P1W","provincial","2020-09-11T14:33:32.843769","2021-03-24T10:00:39.420338","dataset"
"159","1b831f2e-02d8-4d8a-8de1-387170face93","statcan","primary","P1Y","federal","2021-03-30T12:41:16.992370","2021-03-30T12:41:16.992380","dataset"
"160","1bf5a9a3-14bc-482d-9fe6-c182034f3a66","on","federated","P1Y","provincial","2021-01-27T15:50:35.911299","2021-01-28T16:47:13.537344","dataset"
"161","1c6171cd-3a96-4333-b9a7-d1a6b7124c20","statcan","primary","P1Y","federal","2021-03-29T12:42:23.543392","2021-03-29T12:42:23.543398","dataset"
"162","1c67c337-3a42-4c65-910a-01aafc5c5479","qc","federated","irregular","provincial","2020-09-11T14:33:41.585574","2021-02-01T14:29:25.449423","dataset"
"163","1c949987-310c-4bd8-adaa-a9268332e4c0","on","federated","P1Y","provincial","2021-01-27T15:50:43.803824","2021-01-28T16:47:15.685756","dataset"
"164","1c9b76e4-4881-4e0b-b34e-eec79f1391f1","statcan","primary","as_needed","federal","2020-04-29T12:39:56.572029","2020-11-27T20:35:30.010702","dataset"
"165","1d1a4e19-6ef8-494d-b686-92ac9afd71bd","statcan","primary","P1Y","federal","2021-03-30T12:42:07.275985","2021-03-30T12:42:07.275991","dataset"
"166","1d2c9c2c-dbd3-4a42-a232-1d7c3f768153","qc","federated","P1Y","provincial","2020-09-11T14:33:50.218562","2021-02-01T14:29:27.107681","dataset"
"167","1d2f74c5-7bf7-453f-8622-111a71d875f2","on","federated","P1Y","provincial","2021-01-27T15:50:51.315571","2021-02-24T08:00:18.874106","dataset"
"168","1d785ef8-f883-47b5-bac5-dce1cdddb1b0","qc","federated","P1D","municipal","2020-09-11T14:33:59.064738","2021-03-24T10:00:41.804400","dataset"
"169","1dacf50d-26e6-4d77-865d-6e0bf833f74c","on","federated","P1Y","provincial","2021-01-27T15:50:59.449914","2021-01-28T16:47:20.458387","dataset"
"170","1dc7cdcd-5a1c-450a-9544-2a98a3011d61","on","federated","P1Y","provincial","2021-01-27T15:51:08.837073","2021-01-28T16:47:22.239837","dataset"
"171","1dcab844-f8e0-4707-8440-781e68334253","dnd-mdn","primary","P1Y","federal","2020-06-11T15:11:18.064383","2020-06-11T15:11:18.064403","dataset"
"172","1dcdef05-66b5-43dd-b192-480e8330d971","qc","federated","P1W","municipal","2020-09-11T14:34:07.555075","2021-02-01T14:29:30.551281","dataset"
"173","1decae64-bd0e-4aee-b31e-8f8b0d2ae773","on","federated","P1Y","provincial","2021-01-27T15:51:16.194313","2021-01-28T16:47:24.152294","dataset"
"174","1df8b66e-b773-425e-9551-62eba71bab28","statcan","primary","P1Y","federal","2021-03-30T12:41:09.761514","2021-03-30T12:41:09.761522","dataset"
"175","1e483ccb-8369-4368-8538-a619e7c14908","on","federated","as_needed","provincial","2021-01-27T15:51:24.176112","2021-01-28T16:47:26.686965","dataset"
"176","1e702c06-9711-451e-acc2-e79c18d205d7","on","federated","P1Y","provincial","2021-01-27T15:51:32.502889","2021-01-28T16:47:28.384395","dataset"
"177","1ed410a6-5658-40b0-8bfc-246fdb870e44","qc","federated","not_planned","municipal","2020-11-19T14:19:08.723082","2021-02-01T14:29:31.979129","dataset"
"178","1ee14ee7-c68e-4735-83be-b2686a632dbe","qc","federated","P1M","municipal","2021-02-01T16:52:12.671847","2021-02-01T16:52:12.671855","dataset"
"179","1eea80a9-a1ca-4d4f-8210-dc1828e89822","qc","federated","not_planned","provincial","2020-09-11T14:34:15.147805","2021-02-01T14:29:33.774742","dataset"
"180","1f10cfa1-b06b-4ed1-a447-1d28ffba36fb","on","federated","P1Y","provincial","2021-01-27T15:51:40.544008","2021-01-28T16:47:29.890296","dataset"
"181","1f14addd-e4fc-4a07-9982-ad98db07ef86","on","federated","P1Y","provincial","2021-01-27T15:51:48.539539","2021-01-28T16:47:31.822715","dataset"
"182","1f711bda-8953-46df-a09f-a66035a01717","on","federated","P1Y","provincial","2021-01-27T15:51:57.252085","2021-01-28T16:47:33.707073","dataset"
"183","1f7ebefd-79a4-493f-b87c-efc739ea9fb7","statcan","primary","as_needed","federal","2021-01-26T13:44:16.538888","2021-01-27T13:41:35.756913","dataset"
"184","1fe686dc-1c11-4c93-99fb-ce65f67e53b0","on","federated","as_needed","provincial","2021-01-27T15:52:05.078909","2021-01-28T16:47:35.459849","dataset"
"185","20249f48-b0d3-4e5d-86f3-83646ba59868","statcan","primary","as_needed","federal","2021-01-26T13:40:28.582389","2021-01-27T13:39:51.580731","dataset"
"186","2099b8f1-d862-4b47-b650-308ebbcb9ef6","dnd-mdn","primary","P1Y","federal","2020-04-02T11:40:34.339364","2020-04-02T11:40:34.339372","dataset"
"187","20cdab87-a574-4db0-bda8-3e5fac1983ce","qc","federated","P1Y","municipal","2020-09-11T14:34:32.291049","2021-02-01T14:29:35.494739","dataset"
"188","20d9c865-6859-4ae2-a0c4-139f444ab07e","qc","federated","P1W","municipal","2020-09-11T14:34:41.037284","2020-12-21T19:33:15.806984","dataset"
"189","20ed36e5-85fb-4409-b272-b1fa1d8c92b3","qc","federated","as_needed","provincial","2020-09-11T14:34:49.914710","2021-02-01T14:29:37.273068","dataset"
