,ID,org,title,collection,date_created,date_last_mod
32,acaae91e-7f0f-4f80-a95b-c9face974543,statcan,Online interactions with the Canadian federal government by industry and size of enterprise,primary,2020-11-27T20:49:31.010480,2020-11-27T20:49:31.010487
33,bcaf902a-f922-4b9c-914c-b1f3ab0b146d,statcan,Reasons for not having a web presence by industry and size of enterprise,primary,2020-11-27T20:49:28.245903,2020-11-27T20:49:28.245909
34,986a7d65-2472-41e7-9a87-3c5babe5cc20,statcan,Types of web presence by industry and size of enterprise,primary,2020-11-27T20:49:25.203095,2020-11-27T20:49:25.203103
35,d862dd06-ef22-4239-b283-63c4c3fe3692,statcan,"Business or organization space, by business characteristics",primary,2020-11-27T20:44:01.386253,2020-11-27T20:44:01.386261
36,d6b9cdb2-3018-40c0-aa7a-597c935bc9eb,statcan,"Of businesses where at least one employee was laid off, percentage of workforce laid off and rehired due to COVID-19, by business characteristics",primary,2020-11-27T20:42:27.134388,2020-11-27T20:42:27.134395
37,02a8916c-820d-4ce1-9cb6-ba17066d281f,statcan,"Business or organization revenue from August 2020 compared with August 2019, by business characteristics",primary,2020-11-27T20:42:24.629586,2020-11-27T20:42:24.629593
38,21ec2fdf-ccc6-4c03-a826-e3f617337819,statcan,"Business or organization expenses from August 2020 compared with August 2019, by business characteristics",primary,2020-11-27T20:42:22.127508,2020-11-27T20:42:22.127517
39,694d5ed1-1a5d-4763-97a6-b07d536dfa40,statcan,"COVID-19 impacts on various expenditures, by business characteristics",primary,2020-11-27T20:42:19.235895,2020-11-27T20:42:19.235903
40,acdfdacb-da45-4fb5-a087-7d972b1b8ca6,statcan,"Approved funding or credit due to COVID-19, by business characteristics",primary,2020-11-27T20:42:16.747181,2020-11-27T20:42:16.747187
41,a27ceb19-d6c8-4aab-92db-10a86a6b80c7,statcan,"Reasons business or organization did not access any funding or credit due to COVID-19, by business characteristics",primary,2020-11-27T20:42:14.063017,2020-11-27T20:42:14.063024
42,16532650-cd92-4857-903c-997aee20554f,statcan,"Liquidity and access to liquidity, by business characteristics",primary,2020-11-27T20:42:11.589243,2020-11-27T20:42:11.589250
43,12f6d4b7-c16d-45c6-aa0e-c8e4c1b22ab7,statcan,"Business or organization ability to take on more debt, by business characteristics",primary,2020-11-27T20:42:09.118523,2020-11-27T20:42:09.118531
44,55ab4f0a-9ce0-4742-8999-61642acbd0c1,statcan,"Level of difficulty expected in procuring personal protective equipment or supplies, by business characteristics",primary,2020-11-27T20:42:06.588991,2020-11-27T20:42:06.588999
45,66b2ab01-48cb-4bb9-9a4c-95dece82af71,statcan,"Business or organization obstacles over the last three months, by business characteristics",primary,2020-11-27T20:38:35.878482,2020-11-27T20:38:35.878489
46,74eb3933-2af7-4c74-a5ee-42658703cc6b,statcan,"Layoffs since the start of the COVID-19 pandemic, by business characteristics",primary,2020-11-27T20:38:33.204697,2020-11-27T20:38:33.204704
47,85106f26-a706-4e21-9077-4c1030239799,statcan,"Internet access by type of Internet connection, industry, and size of enterprise",primary,2020-11-27T20:36:15.892881,2020-11-27T20:36:15.892889
48,25792c7c-26f1-4ec9-8de5-2574e476561b,statcan,Information and communication technologies used by industry and size of enterprises,primary,2020-11-27T20:36:13.258497,2020-11-27T20:36:13.258507
49,c1f11422-57a4-4d1f-a8aa-1a60208e1e42,statcan,"Enterprises with Information and Communication Technologies specialists, and training provided for ICT-related skills, by industry and size of enterprise",primary,2020-11-27T20:36:10.712929,2020-11-27T20:36:10.712953
50,8c1a3dba-cb4a-42b6-b7aa-0244ac093a14,statcan,Reasons for not using the Internet by industry and size of enterprise,primary,2020-11-27T20:36:08.107402,2020-11-27T20:36:08.107409
51,5ae7d593-a08b-4c22-bf10-7de488c5afb1,statcan,"Length of time businesses or organizations expect to continue to operate at current revenue and expenditures, by business characteristics",primary,2020-11-27T20:26:21.628190,2020-11-27T20:26:21.628196
52,4c7aa41f-0532-444c-81ea-2e7d46e0759a,statcan,"Statements regarding operations of the business or organization, by business characteristics",primary,2020-11-27T20:26:18.756225,2020-11-27T20:26:18.756231
53,e7fba526-e7d8-4883-9a61-a95f1e8572b2,statcan,"Likelihood of various measures being permanently adopted once the pandemic is over, by business characteristics",primary,2020-11-27T20:26:16.024586,2020-11-27T20:26:16.024592
54,f1618c93-7e0d-4193-9036-b70dc1169d7b,statcan,"Reasons why difficulty is expected in procuring personal protective equipment or supplies, by business characteristic",primary,2020-11-27T20:26:13.324917,2020-11-27T20:26:13.324924
55,cb421ab9-62bd-4888-9d89-791ddbf21de4,statcan,"Plans to transfer, sell, or close, by business characteristics",primary,2020-11-27T20:26:10.621961,2020-11-27T20:26:10.621968
56,4362827f-fc10-481d-8258-fc960a97ffda,statcan,"Plans to acquire or invest in other businesses or organizations in the next year, by business characteristics",primary,2020-11-27T20:26:07.991500,2020-11-27T20:26:07.991508
57,b1a0fbcf-6812-4796-b275-1e3f84750b33,statcan,"Expectations of number of employees employed by business or organization over the next three months, by business characteristics",primary,2020-11-27T20:26:05.374012,2020-11-27T20:26:05.374020
58,cc1b776c-5c4c-441e-be86-3566e4ab8316,statcan,"Expectations of prices charged over the next three months, by business characteristics",primary,2020-11-27T20:26:02.626795,2020-11-27T20:26:02.626802
59,ba9cbdbf-5181-4bae-a666-b0dac5a514b0,statcan,"Predicted age-standardized and all ages five-year net survival estimates for selected primary types of cancer, by sex, three years combined",primary,2020-11-27T20:25:14.362625,2020-11-30T13:38:59.432272
60,0572c3a1-5e50-4204-b62e-16d87906cc4a,statcan,"Predicted age-specific five-year net survival estimates for selected primary types of cancer, by sex, three years of cases",primary,2020-11-27T20:25:11.688304,2020-11-30T13:38:57.203300
61,a73eddfa-4b30-47d7-9ab8-f651a875aa8e,statcan,Tourism sector's share of jobs and employment income,primary,2020-10-30T12:38:54.532858,2020-11-02T13:38:35.399607
62,cbaa0aba-1e4d-40d9-b2d2-7ea56f8fbcce,statcan,"Jobs, hours worked and employment income in tourism industries, by class of worker and work activity",primary,2020-10-30T12:38:50.752235,2020-11-02T13:38:33.231525
63,b5a77cec-71fd-455c-8f34-45d159f54605,statcan,"Jobs, hours worked and employment income of employees in tourism industries, by employee characteristics",primary,2020-10-30T12:38:47.235042,2020-11-02T13:38:31.004240
64,e6609a37-d217-4253-9925-a08045f429d1,statcan,"Jobs, hours worked and labour income of employees in tourism industries, by work activity, sex, immigrant status and occupation",primary,2020-10-30T12:38:43.940033,2020-11-02T13:38:28.962252
65,e7621b31-e538-4ff8-9071-738327a0df31,statcan,"Jobs, hours worked and labour income of employees in tourism industries, by age group and occupation",primary,2020-10-30T12:38:39.833714,2020-11-02T13:38:25.928850
66,79935559-a856-4e51-8196-951678379d67,statcan,"Number and percentage of homicide victims, by type of firearm used to commit the homicide",primary,2020-10-29T12:40:02.370774,2020-10-30T12:40:49.950292
67,ddfb1232-fbaa-4b5d-93ba-365b3f23e9d3,statcan,Number of employees that complete tasks related to cyber security by industry and size of enterprise,primary,2020-10-20T12:39:45.837141,2020-11-27T20:49:43.342855
68,b87aa538-63b0-4d1d-a20b-fa8a7b2acc68,statcan,Use of personally-owned devices to carry out business-related activities by industry and size of enterprise,primary,2020-10-20T12:39:42.336064,2020-11-27T20:49:41.696742
69,f9cb2317-dd0c-4046-81e3-7a7d89574391,statcan,Use of risk management arrangements by industry and size of enterprise,primary,2020-10-20T12:39:04.749524,2020-11-27T20:35:06.564297
70,dd297fbf-ceed-4f1f-aea3-55be911e09d1,statcan,Average cost to prevent or detect cyber security incidents by industry and size of enterprise,primary,2020-10-20T12:39:01.257319,2020-11-27T20:35:05.004856
71,e086d4dc-520e-4a44-b487-fb7895f9ebcf,statcan,Average cost to recover from cyber security incidents by industry and size of enterprise,primary,2020-10-20T12:38:57.565632,2020-11-27T20:35:03.491249
72,9d982385-d323-4289-a0a7-71d59aaf9db9,statcan,Impacts of cyber security incidents on enterprises by industry and size of enterprise,primary,2020-10-20T12:38:53.305763,2020-11-27T20:35:01.917474
73,853e38fd-72bb-4a1b-82d4-d5440db97b90,statcan,"Number of home-schooled students in regular programs for youth, elementary and secondary education, by grade and sex",primary,2020-10-15T12:40:05.663445,2020-10-19T12:40:48.292809
74,6f682858-308e-412a-9fd8-ba229952a42f,statcan,"Number of home-schooled students in regular programs for youth, elementary and secondary education, by age and sex",primary,2020-10-15T12:40:02.661494,2020-10-19T12:40:46.447662
75,18c3fa21-dfe6-4fed-987b-d145caf90daa,statcan,"Number of students in regular programs for youth, private or independent elementary and secondary schools, by grade and sex",primary,2020-10-15T12:39:59.338952,2020-10-19T12:40:43.993873
76,c2fc9a8b-f9d6-4e83-a9f9-f7f445e6a231,statcan,"Number of graduates from regular programs for youth, private or independent secondary schools, by age and sex",primary,2020-10-15T12:39:56.250294,2020-10-19T12:40:41.872669
77,aca17c7e-1d7e-4460-bb5e-1bcd082e9982,statcan,"Educators in private or independent elementary and secondary schools, by work status, age group and sex",primary,2020-10-15T12:39:53.004223,2020-10-19T12:40:39.989142
78,7138c5c3-7b61-4cae-bd04-a30fc64c1f5f,statcan,"Number of students in regular programs for youth, private or independent elementary and secondary schools, by age and sex",primary,2020-10-15T12:39:50.046334,2020-10-19T12:40:38.169394
79,589ad2e5-d787-42cf-96e9-37ab088a319a,statcan,"Number of students in official languages programs, private or independent elementary and secondary schools, by program type, grade and sex",primary,2020-10-15T12:39:46.791688,2020-10-19T12:40:36.179026
80,a3a3e934-5575-42ca-9131-47580d755d38,statcan,"International transactions in commercial services, by selected countries and by category of services",primary,2020-10-15T12:39:16.741758,2020-10-19T12:39:55.459215
81,74bf39b2-7817-4dae-87b2-bef2a4010eb7,statcan,"Selected grouped causes of death, by month, inactive",primary,2020-07-03T12:39:19.971296,2020-12-24T13:40:21.460424
82,7bbb1ca5-5a5d-45ee-8644-0b6251bffacc,statcan,Ownership type and property use by residential property type and period of construction,primary,2020-05-22T12:39:12.326373,2020-10-29T12:39:09.965752
83,08463608-378e-4577-9489-f730c3ca468e,statcan,Residency ownership and property use by residential property type and period of construction,primary,2020-05-22T12:39:09.100882,2020-10-29T12:38:47.071749
