"","ID","org","collection","freq","jurisdiction","date_created","date_last_mod"
"911","d218118a-2a81-43f7-9533-bb4576608133","statcan","primary","P1Y","federal","2021-04-13T12:43:59.709574","2021-04-13T12:43:59.709581"
"912","d2475115-bc80-46a3-862f-5263791b4675","statcan","primary","P1Y","federal","2021-04-13T12:52:10.673935","2021-04-13T12:52:10.673942"
"913","d2480590-ff83-4c67-9e1c-5e2f140294e7","statcan","primary","as_needed","federal","2020-05-13T12:38:19.481549","2020-06-19T12:39:54.039255"
"914","d264e7fd-1cea-4920-9124-6c0bbe0a3e66","statcan","primary","as_needed","federal","2021-03-17T12:39:16.712184","2021-03-23T15:01:00.815306"
"915","d2749eed-edfd-4604-a3f7-b4737db6fa54","statcan","primary","as_needed","federal","2021-03-05T13:39:39.145012","2021-04-09T12:45:48.361244"
"916","d303907e-5633-46cd-b7da-2d8b09fdc244","statcan","primary","as_needed","federal","2021-04-13T12:40:26.009933","2021-04-13T12:40:26.009940"
"917","d3287c31-789f-40cc-960f-7b9b25a4d1a0","statcan","primary","as_needed","federal","2020-07-14T12:38:39.263752","2020-11-27T20:31:24.148301"
"918","d32cc4aa-8a81-4309-835e-6e47c4c22371","statcan","primary","P1Y","federal","2021-01-26T13:40:52.538770","2021-02-04T13:42:53.621309"
"919","d3ef9aa4-6f5d-400f-bc5f-7170641b8f24","statcan","primary","P1Y","federal","2021-04-13T12:54:18.282752","2021-04-13T12:54:18.282760"
"920","d400061e-dd2a-41f5-8520-1945708d7a30","statcan","primary","P1Y","federal","2021-04-13T12:55:04.365640","2021-04-13T12:55:04.365647"
"921","d423798f-46f6-44ae-b57a-d50bbb7198ef","statcan","primary","as_needed","federal","2021-01-26T13:43:02.460086","2021-01-27T13:41:20.066396"
"922","d427007d-d4d2-4f95-a235-b7e97cc5ba89","statcan","primary","P1Y","federal","2021-04-13T12:49:47.842651","2021-04-13T12:49:47.842658"
"923","d47924e9-8766-4451-a0a1-89e1481275b5","statcan","primary","as_needed","federal","2020-08-21T12:41:13.561814","2020-09-30T12:41:41.615220"
"924","d5364088-54de-402c-afa6-7d17efb1e850","statcan","primary","P1Y","federal","2021-03-30T12:41:29.744788","2021-03-30T12:41:29.744796"
"925","d58ede3c-d4dc-41b7-8e76-d9ba9342a76e","statcan","primary","as_needed","federal","2021-04-13T12:46:43.481395","2021-04-13T12:46:43.481401"
"926","d5a833ba-c7db-4d0e-95c6-3c32736f1768","statcan","primary","as_needed","federal","2021-04-13T12:57:45.500158","2021-04-13T12:57:45.500166"
"927","d5ad9eb8-5195-4d1d-83e1-b5afe6b7c737","statcan","primary","as_needed","federal","2021-04-13T12:52:08.311737","2021-04-13T12:52:08.311744"
"928","d5f7f93b-f757-42ef-b468-1d3791d97d94","dnd-mdn","primary","not_planned","federal","2020-06-30T11:10:28.293568","2021-04-15T03:32:11.431769"
"929","d5fa627d-4238-4277-94cd-05acceec1944","cfia-acia","primary","not_planned","federal","2020-06-25T12:40:48.515895","2020-06-25T12:40:48.515904"
"930","d633eec7-f3ff-4c6c-bbc8-3cb5f61a9ebc","statcan","primary","P1Y","federal","2021-04-13T12:54:20.639048","2021-04-13T12:54:20.639056"
"931","d6522464-03ec-4e7f-863e-e03e55233475","statcan","primary","P1Y","federal","2021-04-13T12:41:26.038791","2021-04-13T12:41:26.038798"
"932","d67ec01b-85a9-4b3a-afd1-ce9c1e0f19cf","statcan","primary","as_needed","federal","2021-03-25T13:04:47.423468","2021-03-26T12:43:00.181277"
"933","d683e770-522d-4656-b0c1-979828f54fd2","statcan","primary","as_needed","federal","2021-04-09T12:43:24.810064","2021-04-09T12:43:24.810072"
"934","d6a9c2a5-a87a-4314-8310-0f1157f3caaf","statcan","primary","P1M","federal","2020-04-14T12:38:11.370359","2021-04-26T12:39:55.385716"
"935","d6d17b93-e817-4be1-a88a-835353069eae","statcan","primary","as_needed","federal","2020-10-05T12:39:25.617282","2020-12-09T13:40:44.137401"
"936","d71c4c8a-bff5-482b-8398-2ee116011a6b","statcan","primary","P1Y","federal","2021-03-24T12:43:58.836613","2021-03-24T12:43:58.836622"
"937","d73b1535-f725-4d85-b1ee-5b2e757e6525","statcan","primary","P1Y","federal","2021-04-13T12:51:28.847874","2021-04-13T12:51:28.847881"
"938","d761ae4c-66b1-4ded-a4cf-4b7b3363dec7","statcan","primary","P1Y","federal","2021-04-13T12:47:55.722014","2021-04-13T12:47:55.722021"
"939","d77d35f7-66be-467b-bc7f-c12bd63849dd","statcan","primary","P1Y","federal","2021-04-13T12:46:02.206604","2021-04-13T12:46:02.206611"
"940","d81bad0d-9725-4b26-8e0a-df7245c6e342","statcan","primary","as_needed","federal","2020-09-22T12:38:52.909436","2020-09-23T12:38:48.289335"
"941","d8457f14-3940-4aee-9271-971c88cf719b","statcan","primary","as_needed","federal","2021-04-08T12:41:06.433076","2021-04-08T12:41:06.433084"
"942","d8e2421e-f64d-4b35-a728-f799086ab1d5","statcan","primary","as_needed","federal","2021-04-13T12:57:31.211578","2021-04-13T12:57:31.211586"
"943","d8e4400d-ed77-47c4-bea5-6cd8f23daf34","statcan","primary","P1Y","federal","2021-04-13T12:49:31.474425","2021-04-13T12:49:31.474434"
"944","d901c191-dc0d-442c-a24c-7ef9c7a7b11a","statcan","primary","P1M","federal","2021-04-13T12:44:41.496464","2021-04-13T12:44:41.496472"
"945","d91940e5-7ddf-4e5f-ba5e-3e71264b4c50","statcan","primary","as_needed","federal","2021-04-13T12:57:16.749111","2021-04-13T12:57:16.749118"
"946","d92aacca-769f-4e8e-9d79-0bcf3078ff21","ic","primary","P3M","federal","2021-04-08T19:21:08.573168","2021-04-30T13:30:53.642384"
"947","d93f9caf-70c9-4f91-abec-1b6826559b86","statcan","primary","P1Y","federal","2021-04-13T12:58:18.511692","2021-04-13T12:58:18.511698"
"948","d9834d78-6684-48e9-9509-5c3e8e67690c","statcan","primary","as_needed","federal","2020-07-23T12:39:37.587578","2020-07-24T12:39:23.576014"
"949","d985d247-5c5e-48f4-9de9-6f0304824dc5","statcan","primary","P1Y","federal","2021-03-25T13:04:16.853002","2021-03-25T13:04:16.853009"
"950","d9d70c23-dfba-4f9f-89ec-e19a2c5c20b1","pwgsc-tpsgc","primary","as_needed","federal","2020-12-01T20:22:04.398290","2020-12-01T20:22:04.398295"
"951","da1c570b-1591-49b6-a34f-27b2ceb15d0f","statcan","primary","as_needed","federal","2021-04-13T12:46:26.353620","2021-04-13T12:46:26.353628"
"952","da53159d-ed99-4098-bb1a-1288d01ee0bb","statcan","primary","P1Y","federal","2021-04-13T12:54:52.633259","2021-04-13T12:54:52.633267"
"953","da67eeeb-6a3b-455f-9a6f-7e98810343d8","statcan","primary","P1Y","federal","2021-04-13T12:44:23.497682","2021-04-13T12:44:23.497690"
"954","da908cf4-d15d-47dc-b66b-4a97b4aaa5be","statcan","primary","P1Y","federal","2021-04-13T12:40:00.054611","2021-04-13T12:40:00.054620"
"955","dabd4dc7-eb8b-4acb-8733-709f6e46dfa4","statcan","primary","P1Y","federal","2021-04-13T12:45:01.238608","2021-04-13T12:45:01.238616"
"956","dafecd72-7b1a-43eb-be5f-48707d77349c","dfatd-maecd","primary","P1Y","federal","2020-04-22T14:30:50.036583","2020-04-22T14:30:50.036589"
"957","db61fc51-8ffe-4ccc-9a51-e0ffead70edd","statcan","primary","P1Y","federal","2021-04-13T12:52:55.997352","2021-04-13T12:52:55.997360"
"958","db85ca31-c2f9-40fb-a223-1f3e3b844875","cra-arc","primary","P1Y","federal","2020-12-07T21:51:06.897960","2020-12-07T21:51:06.897966"
"959","db978562-2249-47bb-ab15-8c7c2641391d","statcan","primary","P1Y","federal","2021-04-13T12:48:42.476565","2021-04-13T12:48:42.476572"
"960","dc055904-13bd-4648-a774-9b37194e0c00","statcan","primary","P1Y","federal","2021-04-13T12:50:04.005617","2021-04-13T12:50:04.005625"
"961","dc3ea40e-c6fd-4082-ae6a-78261bbb0b49","statcan","primary","P1Y","federal","2021-03-30T12:41:13.546124","2021-03-30T12:41:13.546135"
"962","dc5c4808-ef54-41c9-9a65-e99e89fe673a","statcan","primary","P1Y","federal","2021-04-13T12:39:37.461457","2021-05-04T12:38:30.819688"
"963","dc8ab259-dc0e-4bf6-b4b7-012eecd6ee56","statcan","primary","P1M","federal","2020-12-08T13:39:14.213791","2021-04-19T12:39:11.097542"
"964","dceb5a0c-c905-4af6-ac5e-4aebe61b69a5","statcan","primary","as_needed","federal","2021-03-05T13:41:03.574674","2021-04-09T12:44:56.222001"
"965","dd09b357-79b1-444b-8503-37b7eb244a1e","cra-arc","primary","P1M","federal","2020-09-02T20:10:51.355037","2020-11-27T20:11:58.558883"
"966","dd690e17-5479-458c-9105-4b1dcc926b24","statcan","primary","P3M","federal","2020-12-08T13:39:17.471493","2021-03-10T13:39:32.480815"
"967","dd7afaf9-24b9-4f9d-9c6b-71733857fc5e","statcan","primary","as_needed","federal","2021-04-13T12:43:04.369708","2021-04-13T12:43:04.369715"
"968","dd9af683-4d64-4019-a8ef-7b65d4b26b2b","statcan","primary","P1Y","federal","2021-04-13T12:57:35.946789","2021-04-13T12:57:35.946795"
"969","de2bf291-1ccd-4f27-9dcd-8616b95bec6f","esdc-edsc","primary","P1W","federal","2020-10-16T12:40:13.829931","2021-05-03T16:50:49.130427"
"970","de585262-ef48-4df8-9570-c79eadd8fb96","statcan","primary","P1Y","federal","2021-04-13T12:38:34.002491","2021-04-13T12:38:34.002498"
"971","de5f7344-6a13-42e2-a424-711a61492f7b","statcan","primary","as_needed","federal","2020-10-01T12:39:29.455375","2020-10-02T12:39:02.799377"
"972","dea96934-9d93-4507-ab92-653a692c4654","statcan","primary","P1M","federal","2021-01-25T13:39:34.975462","2021-04-12T12:41:37.811167"
"973","deb7066b-c94b-4f65-a4e3-6b99ff47a3e0","tc","primary","P1Y","federal","2020-06-26T18:01:05.788746","2020-06-26T18:01:05.788753"
"974","dec2d69f-dff3-4e66-bcf7-2cedc0f1faac","statcan","primary","as_needed","federal","2021-04-13T12:56:29.216666","2021-04-13T12:56:29.216674"
"975","ded33204-8687-4a95-bb96-a90b7a6626bc","statcan","primary","as_needed","federal","2021-04-13T12:46:04.584130","2021-04-13T12:46:04.584138"
"976","def2b68f-d5c6-4134-82f8-db6660065029","statcan","primary","P2Y","federal","2021-03-09T13:50:33.840499","2021-03-09T13:50:33.840505"
"977","df0ba432-29c7-4970-8193-e08bc0dd2cc1","statcan","primary","P1Y","federal","2021-04-13T12:57:50.171280","2021-04-13T12:57:50.171289"
"978","df25e006-0278-4559-b49d-b48b94430202","statcan","primary","as_needed","federal","2021-04-13T12:42:54.111788","2021-04-13T12:42:54.111794"
"979","df36f4ae-c89e-4b72-a99e-c3f1d5baa33f","statcan","primary","P1Y","federal","2021-04-13T12:54:08.410620","2021-04-13T12:54:08.410628"
"980","df3df303-1f52-45dd-a347-05eb8bc4706f","opc-cpvp","primary","not_planned","federal","2020-07-21T18:30:37.265467","2020-09-08T18:30:42.136519"
"981","df5afc1b-75cd-475b-891b-e85517f3a5b8","statcan","primary","P1Y","federal","2021-04-13T12:39:54.532357","2021-04-13T12:39:54.532366"
"982","df83adf9-a21d-4cb5-97ed-bc44dff0bd0b","statcan","primary","as_needed","federal","2021-04-13T12:57:19.065698","2021-04-13T12:57:19.065705"
"983","dfd29f03-d53b-4064-a65f-456cc2774c07","statcan","primary","as_needed","federal","2020-07-14T12:39:45.471806","2021-04-09T12:43:09.171230"
"984","e04896d9-438c-4f3e-948b-b8bdb0b0846c","statcan","primary","as_needed","federal","2021-04-08T12:41:53.938372","2021-04-08T12:41:53.938379"
"985","e055c68b-a7dd-4c03-9788-7e132652bb57","statcan","primary","P1Y","federal","2021-04-13T12:55:06.822889","2021-04-13T12:55:06.822896"
"986","e087cc23-20ee-44fb-9891-28fc54831c45","pwgsc-tpsgc","primary","P1Y","federal","2020-04-21T18:50:44.258674","2021-02-10T13:21:54.705154"
"987","e0da8068-6f08-453f-9684-7d00cd6f6f93","nrcan-rncan","primary","P1Y","federal","2020-12-23T20:13:01.572320","2020-12-23T20:13:01.572326"
"988","e1263009-b8f4-4594-b3ef-a8efef8fc2c2","cra-arc","primary","P3M","federal","2020-12-07T21:51:19.551681","2020-12-07T21:51:19.551688"
"989","e12aeb59-f0d0-4d90-bb5f-e667a194fb56","tsb-bst","primary","P1M","federal","2020-04-27T18:00:54.449701","2021-04-26T16:00:58.992053"
"990","e1583a1b-a2a0-4683-8e40-2bf0304bc490","dnd-mdn","primary","P1Y","federal","2020-06-11T15:11:03.856446","2021-05-05T14:21:05.231416"
"991","e185cdc7-9b8b-4d0d-b26a-6aacf68e0509","dfatd-maecd","primary","as_needed","federal","2020-08-11T14:00:56.091472","2020-08-11T14:00:56.091478"
"992","e1d88b5f-4447-472d-9589-91798756256a","statcan","primary","P1Y","federal","2021-04-13T12:44:02.161158","2021-04-13T12:44:02.161165"
"993","e203afe8-216f-4349-a251-d3786ae90499","nrcan-rncan","primary","P1Y","federal","2020-12-23T20:12:38.992815","2020-12-23T20:12:38.992821"
"994","e217fe84-3930-48bc-8dd7-692f2800a482","statcan","primary","P1Y","federal","2021-03-16T12:45:18.870806","2021-03-17T12:40:12.088470"
"995","e2d943c9-878b-42e3-ab27-b22e4700307d","csec-cstc","primary","P1Y","federal","2021-01-13T18:21:10.944006","2021-01-25T21:11:12.238209"
"996","e3379292-d905-4dca-8129-2419cbc334af","statcan","primary","P1Y","federal","2021-04-13T12:38:55.337262","2021-04-13T12:38:55.337269"
"997","e3543f24-4366-477c-8afb-0b5b6552617e","statcan","primary","as_needed","federal","2020-08-21T12:40:44.082844","2020-09-18T12:51:52.624811"
"998","e40051d7-47a9-4a25-9071-cc79ed09328e","statcan","primary","P1Y","federal","2021-04-13T12:47:36.921062","2021-04-13T12:47:36.921069"
"999","e4009166-6816-4f9c-b7ee-b9d8cf631f6b","statcan","primary","as_needed","federal","2021-04-13T12:50:33.182174","2021-04-13T12:50:33.182181"
"1000","e446b0c4-975f-4af6-9082-74f87e897ddd","statcan","primary","P1M","federal","2021-04-13T12:44:09.599677","2021-04-13T12:44:09.599686"
"1001","e4471780-a128-416e-8975-9d88b35c40f9","tc","primary","not_planned","federal","2020-06-26T18:01:08.559739","2020-06-26T18:01:08.559747"
"1002","e4c0ed28-36e6-4d24-bcf6-92ab171aa3cb","ec","primary","as_needed","federal","2020-06-08T18:20:58.921928","2020-06-08T18:20:58.921939"
"1003","e4d0ea23-0315-44da-af02-5674b4b6d22f","statcan","primary","P1Y","federal","2021-01-25T13:43:00.909232","2021-01-26T13:41:37.414400"
"1004","e5198697-9097-4df9-8733-53ed47d41fc3","statcan","primary","P1Y","federal","2021-03-23T15:01:24.094075","2021-03-23T15:01:24.094084"
"1005","e52ad481-f954-4f40-89dd-caa50d0d8d64","statcan","primary","as_needed","federal","2021-04-13T12:41:06.904034","2021-04-13T12:41:06.904042"
"1006","e56d2e7c-861e-40dc-955b-c1ef0bcdcc35","statcan","primary","P1M","federal","2021-04-13T12:49:09.951939","2021-04-13T12:49:09.951948"
"1007","e59fc142-b6d8-4541-8b4b-81453f323709","pwgsc-tpsgc","primary","P1Y","federal","2021-03-31T13:20:20.185278","2021-03-31T13:20:20.185285"
"1008","e5c5625c-2143-4b31-b050-33e0aa083395","tsb-bst","primary","P1M","federal","2020-04-27T18:01:01.999557","2021-04-26T16:00:55.877343"
"1009","e60b6d1d-b66e-46bb-a40d-a04ee6bd0249","statcan","primary","P1M","federal","2021-01-25T13:43:44.672616","2021-04-12T12:42:39.200751"
"1010","e62b9aa4-8cc5-4deb-ab53-e5da828b790b","phac-aspc","primary","P1D","federal","2020-12-02T20:52:03.131848","2020-12-02T20:52:03.131854"
"1011","e6543768-0c6e-4ad8-a77e-293eed891435","statcan","primary","P1Y","federal","2021-04-13T12:48:23.019692","2021-04-13T12:48:23.019699"
"1012","e6741015-072b-496e-98b0-f8bc0f577719","statcan","primary","P1Y","federal","2021-03-26T12:41:02.644197","2021-03-26T12:41:02.644205"
"1013","e67a2158-1218-40a4-a6da-edf0d199866c","statcan","primary","P1Y","federal","2021-04-13T12:48:00.453126","2021-04-13T12:48:00.453135"
"1014","e6d1f210-7fd0-46d5-bb39-5d5576e1fa93","statcan","primary","as_needed","federal","2021-03-05T13:41:28.592635","2021-03-08T13:47:49.730042"
"1015","e718cfd5-206f-44c0-b8bb-ebe475a578f4","tc","primary","P1Y","federal","2020-06-26T18:01:02.873383","2020-06-26T18:01:02.873389"
"1016","e7621b31-e538-4ff8-9071-738327a0df31","statcan","primary","P1Y","federal","2020-10-30T12:38:39.833714","2021-04-13T13:35:04.527585"
"1017","e79c78b3-506b-4781-987e-e627490731fc","statcan","primary","as_needed","federal","2021-04-13T12:56:15.531470","2021-04-13T12:56:15.531478"
"1018","e7d752cb-b2c1-4826-b7d2-8acdcd69dd71","statcan","primary","as_needed","federal","2021-04-13T12:45:26.044976","2021-04-13T12:45:26.044983"
