"owner_org","ati","ati_nil","contracts","contracts_nil","contracts_a","grants","grants_nil","reclass","relass_nil","travel_a","travel_q","travel_nil","hospitiality","hospitiality_nil","dac","bn","qp_notes","wrong_doing"
"iaac-aeic",71,0,989,0,0,2158,0,24,55,0,94,19,18,24,0,431,0,0
"ic",1071,0,7598,0,3,2255,1,233,3,5,3685,0,429,4,48,4358,67,1
"iga-aig",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0
"iic-iac",0,0,81,0,0,0,0,0,0,0,12,7,2,6,0,0,0,0
"ijc-cmi",0,0,131,0,0,0,0,0,0,0,177,3,4,0,0,0,0,0
"infc",359,0,657,0,4,289,0,13,0,6,916,0,73,0,63,2066,69,1
"innovation",1,22,0,0,0,0,0,0,0,0,89,22,25,25,0,0,0,0
"irb-cisr",74,0,1387,0,2,0,0,91,6,2,77,18,21,23,0,434,0,0
"isc-sac",384,7,3184,0,0,67200,0,8,9,0,483,1,38,0,51,1502,155,0
"jccbi-pjcci",3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"jfpc-cfp",0,0,0,0,0,0,0,0,0,0,20,4,0,12,0,0,0,0
"jus",473,0,2312,0,4,2294,0,874,1,5,524,10,255,14,44,2128,21,0
"lac-bac",272,0,869,0,4,172,0,59,0,6,34,21,17,25,0,141,0,0
"mdi-mid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0
"mgerc-ceegm",1,22,97,1,5,0,0,6,7,5,147,39,32,62,0,0,0,0
"miga-maig",0,0,0,0,0,0,0,0,0,0,10,0,0,4,0,13,0,0
"mint-monnaie",19,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mpcc-cppm",26,10,150,0,4,0,0,3,25,6,13,51,0,118,0,87,0,0
"nbc-ccbn",2,15,142,0,0,0,0,0,0,0,19,26,33,17,0,0,0,0
"ncc-ccn",105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ndcfo-odnfc",0,0,0,0,0,0,0,0,0,0,17,36,31,32,0,0,0,0
"nfb-onf",10,9,1155,0,5,0,0,0,0,0,288,27,203,25,0,0,0,0
"ngc-mbac",9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"npa-apn",2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"nrc-cnrc",86,0,35149,0,3,50424,0,0,0,0,2052,9,1157,26,45,90,0,0
"nrcan-rncan",729,0,22391,0,4,5588,0,163,0,9,2100,13,734,19,57,2460,94,0
"nserc-crsng",12,1,835,10,1,78248,0,0,0,5,212,12,19,12,3,110,0,0
"nsira-ossnr",5,5,70,0,2,0,0,0,0,3,55,15,20,20,0,0,0,0
"oag-bvg",0,0,1299,0,4,0,0,0,0,0,134,0,130,1,33,439,0,0
"oci-bec",19,9,34,2,1,0,0,2,4,0,78,0,7,8,0,39,0,0
"ocl-cal",12,14,99,1,5,0,0,0,12,4,3,33,5,32,0,22,0,0
"ocol-clo",44,0,332,0,4,0,0,12,16,5,59,25,32,24,0,196,0,0
"ocsec-bccst",0,23,7,6,0,0,0,0,0,2,3,31,0,33,0,0,0,0
"oic-ci",42,2,189,0,4,0,0,0,0,4,7,27,20,25,0,13,0,0
"opc-cpvp",161,0,483,0,4,52,10,4,17,3,49,26,8,46,0,234,0,0
"osfi-bsif",19,1,1849,0,4,0,0,0,0,4,22,15,7,19,49,656,0,0
"osgg-bsgg",0,0,353,0,4,0,0,1,5,0,93,21,4,32,0,0,0,0
"oto-boc",0,0,18,0,0,0,0,0,0,7,79,26,14,34,0,0,0,0
"ovo-bov",6,19,0,0,0,0,0,7,12,0,35,20,8,29,0,31,0,0
"pacifican",28,2,0,0,0,519,0,0,3,0,3,6,0,7,0,118,4,0
"papa-appa",0,0,0,0,0,0,0,0,0,0,26,8,5,9,0,0,0,0
"pbc-clcc",38,3,875,0,4,0,0,84,12,6,269,0,27,9,0,207,0,0
"pc",154,0,17547,0,4,960,0,0,0,0,2211,12,352,28,15,621,0,0
"pch",624,0,9865,0,4,88147,0,71,8,5,3393,9,1027,23,37,1262,338,0
"pco-bcp",723,1,1836,0,1,119,0,62,24,0,9,6,5,9,183,1693,50,0
"phac-aspc",365,0,5171,0,4,2276,7,112,1,0,265,13,76,17,51,1439,7,0
"pmo-cpm",0,0,0,0,0,0,0,0,0,0,167,3,17,2,0,0,0,0
"pmprb-cepmb",0,0,141,1,3,0,0,20,50,0,103,27,65,107,0,0,0,0
"polar-polaire",1,14,51,1,0,149,1,0,0,0,47,2,2,4,0,37,0,0
"ppsc-sppc",40,4,1145,0,4,0,0,5,4,11,97,21,8,36,24,664,0,0
"pptc",0,0,1217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pqcc-pcprc",0,0,0,0,0,0,0,0,0,0,20,6,1,11,0,99,0,0
"prairiescan",63,0,0,0,0,1482,0,2,2,0,24,3,0,8,0,122,1,0
"ps-sp",420,0,1538,0,4,1469,10,11,11,0,459,17,158,24,39,1837,151,0
"psc-cfp",53,4,2405,0,4,0,0,182,9,3,737,6,1156,6,44,108,0,0
"psic-ispc",0,0,109,0,1,0,0,0,0,0,19,37,6,60,0,0,0,0
"pspib-oirpsp",12,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ptr",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"pwgsc-tpsgc",750,0,40395,0,4,0,8,57,4,3,139,7,14,22,53,860,170,0
"ql-lq",0,0,0,0,0,0,0,0,0,0,18,0,0,4,0,27,0,0
"qpa-apq",0,0,0,0,0,0,0,0,0,0,35,3,78,4,0,0,0,0
"rcmp-grc",833,0,19193,0,4,174,1,416,17,5,535,3,373,5,47,336,0,0
"ri",4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"scc-csc",0,0,0,0,0,0,0,34,5,0,0,0,0,0,0,0,0,0
"sdtc-tddc",2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sibc-cpivml",1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sirc-csars",0,0,59,0,0,0,0,0,0,0,44,0,29,0,0,0,0,0
"sjpa-apsj",2,22,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"snsicp-scpssnr",0,0,0,0,0,0,0,0,0,0,50,21,117,13,0,0,0,0
"sopf-cidp",3,19,0,0,0,0,0,0,0,0,41,0,0,15,0,0,0,0
"srp-rsp",0,0,0,0,0,0,0,0,0,0,3,11,0,12,0,13,0,0
"ssc-spc",316,0,17179,0,4,0,0,52,7,9,318,21,294,25,49,449,7,0
"sshrc-crsh",42,6,194,9,1,34161,0,0,0,5,230,9,20,18,3,78,0,0
"statcan",129,0,1334,0,4,4,18,52,3,6,216,0,47,5,45,352,0,0
"swc-cfc",0,0,112,0,1,143,2,7,3,0,246,12,55,9,0,0,0,0
"tbs-sct",606,0,6982,0,4,34,7,57,2,4,440,7,287,17,56,995,54,0
"tc",511,0,16625,0,4,15403,0,483,2,11,2426,5,207,16,33,1765,39,0
"tf",5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tmc",1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tmp",0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tsb-bst",79,1,303,0,0,0,0,16,10,10,87,21,14,42,0,0,0,0
"vac-acc",192,0,3953,0,4,1143,0,400,7,5,2436,12,412,25,45,240,124,2
"vfpa-apvf",35,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"viarail",58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"vrab-tacra",7,6,79,5,3,0,0,58,13,0,261,8,49,0,0,0,1,0
"wage",58,3,374,0,3,1078,3,9,8,3,173,8,8,9,0,516,93,0
"wd-deo",66,1,162,0,2,14556,0,25,10,10,1387,10,73,19,0,451,0,0
"yesab-oeesy",4,18,0,0,1,0,0,0,0,0,17,9,0,0,0,0,0,0
