"date","structured","non_structured","total"
"Mon Jul 17 11:20:14 2023",2255814,818,2256632
"Tue Jul 18 11:18:55 2023",2255950,818,2256768
"Wed Jul 19 11:20:22 2023",2256069,818,2256887
"Thu Jul 20 11:18:33 2023",2256165,822,2256987
"Fri Jul 21 11:20:38 2023",2256423,825,2257248
"Sat Jul 22 11:18:05 2023",2256654,825,2257479
"Sun Jul 23 11:19:22 2023",2256655,827,2257482
"Mon Jul 24 11:18:57 2023",2256655,827,2257482
"Tue Jul 25 11:20:21 2023",2257141,827,2257968
"Wed Jul 26 11:22:41 2023",2257791,829,2258620
"Thu Jul 27 11:20:02 2023",2266005,831,2266836
"Fri Jul 28 11:17:45 2023",2275736,835,2276571
"Sat Jul 29 11:17:24 2023",2299936,835,2300771
"Sun Jul 30 11:16:24 2023",2300007,835,2300842
"Mon Jul 31 11:18:27 2023",2300010,835,2300845
"Tue Aug  1 11:19:53 2023",2303892,835,2304727
"Wed Aug  2 11:19:12 2023",2304447,836,2305283
"Thu Aug  3 11:22:24 2023",2304611,836,2305447
"Fri Aug  4 11:18:12 2023",2304784,836,2305620
"Sat Aug  5 11:18:07 2023",2308354,838,2309192
"Sun Aug  6 11:17:53 2023",2308354,838,2309192
"Mon Aug  7 11:19:21 2023",2308354,838,2309192
"Tue Aug  8 11:19:38 2023",2308354,838,2309192
"Wed Aug  9 11:19:38 2023",2308402,838,2309240
"Thu Aug 10 11:19:42 2023",2308430,843,2309273
"Fri Aug 11 11:20:02 2023",2308717,843,2309560
"Sat Aug 12 11:17:09 2023",2308731,843,2309574
"Sun Aug 13 11:16:36 2023",2308731,843,2309574
"Mon Aug 14 11:17:52 2023",2308731,843,2309574
"Tue Aug 15 11:17:45 2023",2308997,843,2309840
"Wed Aug 16 11:19:55 2023",2309084,843,2309927
"Thu Aug 17 11:18:22 2023",2309158,844,2310002
"Fri Aug 18 17:07:46 2023",2309166,844,2310010
"Sat Aug 19 11:19:52 2023",2309240,844,2310084
"Sun Aug 20 11:16:42 2023",2309276,847,2310123
"Mon Aug 21 11:18:17 2023",2309276,847,2310123
"Tue Aug 22 11:17:17 2023",2309402,847,2310249
"Wed Aug 23 11:21:00 2023",2309487,847,2310334
"Thu Aug 24 11:18:21 2023",2309702,848,2310550
"Fri Aug 25 11:19:08 2023",2309798,848,2310646
"Sat Aug 26 11:19:14 2023",2310001,848,2310849
"Sun Aug 27 11:15:56 2023",2310001,850,2310851
"Mon Aug 28 11:18:31 2023",2310001,850,2310851
"Tue Aug 29 11:21:23 2023",2310206,850,2311056
"Wed Aug 30 11:20:54 2023",2311263,850,2312113
"Thu Aug 31 11:20:58 2023",2312250,850,2313100
"Fri Sep  1 11:18:21 2023",2313200,850,2314050
"Sat Sep  2 11:18:54 2023",2313295,857,2314152
"Sun Sep  3 11:18:52 2023",2313295,857,2314152
"Mon Sep  4 11:20:51 2023",2313295,857,2314152
"Tue Sep  5 11:17:40 2023",2313295,857,2314152
"Wed Sep  6 11:18:32 2023",2313375,857,2314232
"Thu Sep  7 11:18:23 2023",2313393,859,2314252
"Fri Sep  8 11:18:58 2023",2313518,859,2314377
"Sat Sep  9 11:17:03 2023",2313674,859,2314533
"Sun Sep 10 11:17:17 2023",2313674,859,2314533
"Mon Sep 11 11:18:32 2023",2313674,859,2314533
"Tue Sep 12 11:19:42 2023",2313673,859,2314532
"Wed Sep 13 11:18:38 2023",2313822,860,2314682
"Thu Sep 14 11:23:01 2023",2313870,860,2314730
"Fri Sep 15 11:18:40 2023",2313890,860,2314750
"Sat Sep 16 11:17:15 2023",2314014,860,2314874
"Sun Sep 17 11:17:30 2023",2314014,864,2314878
"Mon Sep 18 11:18:33 2023",2314014,864,2314878
"Tue Sep 19 11:20:03 2023",2314062,864,2314926
"Wed Sep 20 11:20:25 2023",2314079,868,2314947
"Thu Sep 21 11:21:18 2023",2314232,869,2315101
"Fri Sep 22 11:19:10 2023",2314421,869,2315290
"Sat Sep 23 11:19:39 2023",2314520,869,2315389
"Sun Sep 24 11:17:50 2023",2314520,869,2315389
